City_ID,City,Country,Max Temp,Description,Lat,Lng,Humidity,Cloudiness,Wind Speed,Date,Hotel Name
225,Klyuchi,RU,66.4,overcast clouds,52.2667,79.1667,63,100,12.24,2022-07-20 21:39:54,
226,Waddan,LY,79.79,clear sky,29.1614,16.139,47,0,13.4,2022-07-20 21:40:54,
233,Iracoubo,GF,78.08,clear sky,5.4802,-53.2011,83,5,7.76,2022-07-20 21:40:56,
234,Nola,IT,82.31,clear sky,40.922,14.5329,64,0,0.58,2022-07-20 21:40:57,
236,Dwarka,IN,81.77,overcast clouds,22.2394,68.9678,83,92,17.18,2022-07-20 21:40:57,
237,Ahuimanu,US,83.91,light rain,21.4447,-157.8378,68,75,18.41,2022-07-20 21:40:58,
238,Tura,IN,74.23,light rain,25.5198,90.2201,97,100,5.7,2022-07-20 21:40:58,
243,Souillac,MU,68.38,light intensity shower rain,-20.5167,57.5167,83,75,24.16,2022-07-20 21:40:49,
244,Kavieng,PG,81.77,light rain,-2.5744,150.7967,79,93,11.65,2022-07-20 21:41:00,
245,Kirakira,SB,82.09,broken clouds,-10.4544,161.9205,75,77,7.4,2022-07-20 21:41:00,
246,Lorengau,PG,81.1,overcast clouds,-2.0226,147.2712,77,96,3.47,2022-07-20 21:41:01,
247,Marawi,PH,69.55,scattered clouds,7.9986,124.2928,94,47,3.24,2022-07-20 21:32:08,
249,Quatre Cocos,MU,68.11,light rain,-20.2078,57.7625,73,96,20.2,2022-07-20 21:41:02,
250,Orbetello,IT,78.82,clear sky,42.4408,11.2196,34,0,3.44,2022-07-20 21:41:02,
255,Xuddur,SO,73.36,overcast clouds,4.1213,43.8894,53,98,19.3,2022-07-20 21:41:04,
257,Birnin Kebbi,NG,82.51,overcast clouds,12.4539,4.1975,61,85,6.29,2022-07-20 21:41:04,
262,Cabedelo,BR,74.07,light rain,-6.9811,-34.8339,88,84,10.58,2022-07-20 21:41:06,
263,Sembakung,ID,72.59,overcast clouds,3.8167,117.25,99,98,2.24,2022-07-20 21:41:07,
264,Havelock,US,84.18,scattered clouds,34.8791,-76.9013,80,40,8.99,2022-07-20 21:41:07,
268,Nanakuli,US,84.15,broken clouds,21.3906,-158.1547,54,75,12.66,2022-07-20 21:41:08,
269,Torbay,CA,67.39,broken clouds,47.6666,-52.7314,78,75,18.41,2022-07-20 21:41:08,
270,Kalulushi,ZM,65.61,overcast clouds,-12.8378,28.0919,48,94,7.74,2022-07-20 21:41:09,
272,Sarti,GR,76.69,clear sky,40.1,23.9833,56,0,2.75,2022-07-20 21:41:10,
275,Karratha,AU,65.84,clear sky,-20.7377,116.8463,63,4,6.87,2022-07-20 21:33:17,
279,Bawku,GH,78.57,scattered clouds,11.0616,-0.2417,66,43,2.68,2022-07-20 21:42:12,
281,Fukue,JP,80.87,heavy intensity rain,32.6881,128.8419,92,100,18.1,2022-07-20 21:42:12,
282,Rafai,CF,67.59,scattered clouds,4.95,23.9167,98,47,1.05,2022-07-20 21:42:13,
283,Rosa Zarate,EC,81.36,overcast clouds,0.3333,-79.4667,72,89,5.55,2022-07-20 21:42:13,
284,San Cristobal,VE,78.98,scattered clouds,7.7669,-72.225,67,50,5.5,2022-07-20 21:37:28,
287,Eyl,SO,74.41,scattered clouds,7.9803,49.8164,81,34,16.4,2022-07-20 21:42:14,
289,Ierapetra,GR,76.14,clear sky,35.01,25.7353,56,0,11.01,2022-07-20 21:42:15,
290,Fairbanks,US,66.31,broken clouds,64.8378,-147.7164,58,75,8.05,2022-07-20 21:40:02,
291,Kitimat,CA,71.98,broken clouds,54.0524,-128.6534,43,81,3.78,2022-07-20 21:42:15,
293,Kudahuvadhoo,MV,80.33,heavy intensity rain,2.6708,72.8944,71,100,16.55,2022-07-20 21:42:16,
295,Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,73,75,9.22,2022-07-20 21:42:16,
297,Lobito,AO,67.26,scattered clouds,-12.3481,13.5456,89,42,1.14,2022-07-20 21:42:17,
298,Zhanaozen,KZ,84.72,scattered clouds,43.3,52.8,29,45,22.3,2022-07-20 21:42:17,
300,Lermontovka,RU,67.5,few clouds,47.1453,134.3383,93,24,1.95,2022-07-20 21:40:24,
301,Lagoa,PT,71.82,clear sky,39.05,-27.9833,81,7,4.29,2022-07-20 21:34:35,
302,Micheweni,TZ,73.49,light rain,-4.9667,39.8333,81,20,13.58,2022-07-20 21:42:18,
303,Manzil Salim,TN,81.66,clear sky,35.8567,8.4765,31,1,3.76,2022-07-20 21:42:18,
304,Toktogul,KG,73.31,clear sky,41.8708,72.9402,34,0,2.48,2022-07-20 21:42:19,
305,Padang,ID,75.99,light rain,-0.9492,100.3543,85,65,3.91,2022-07-20 21:42:19,
307,Shenxian,CN,68.49,clear sky,36.2411,115.6672,97,6,4.94,2022-07-20 21:42:20,
308,Komsomolskiy,UZ,79.52,clear sky,40.4272,71.7189,34,0,9.22,2022-07-20 21:42:20,
310,Alenquer,BR,78.94,overcast clouds,-1.9417,-54.7383,78,92,3.69,2022-07-20 21:42:21,
311,Yatou,CN,71.28,broken clouds,37.15,122.3833,90,83,5.5,2022-07-20 21:42:21,
314,Amapa,BR,73.51,moderate rain,1.0,-52.0,98,63,2.3,2022-07-20 21:42:23,
317,Osmena,PH,81.07,broken clouds,10.5208,119.9258,77,80,2.37,2022-07-20 21:42:24,
318,Itarema,BR,78.08,broken clouds,-2.9248,-39.9167,75,68,13.8,2022-07-20 21:42:24,
320,Tabou,CI,75.47,overcast clouds,4.423,-7.3528,72,100,8.57,2022-07-20 21:43:25,
