City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
418,Lompoc,34.6391,-120.4579,84.34,69,0,14.97,US,2022-07-12 22:42:41
419,Alice Springs,-23.7,133.8833,35.15,87,0,0.0,AU,2022-07-12 22:45:47
420,Grand Gaube,-20.0064,57.6608,69.39,71,64,4.0,MU,2022-07-12 22:45:47
421,Nanakuli,21.3906,-158.1547,84.15,57,75,14.97,US,2022-07-12 22:45:48
422,Tsiroanomandidy,-18.7667,46.0333,58.35,74,85,3.24,MG,2022-07-12 22:45:48
423,Puerto Leguizamo,-0.1934,-74.7819,74.44,94,56,2.3,CO,2022-07-12 22:45:48
424,Puerto Escondido,15.85,-97.0667,83.39,81,96,5.93,MX,2022-07-12 22:45:49
425,Farias Brito,-6.9306,-39.5656,79.48,56,100,6.13,BR,2022-07-12 22:45:49
426,Price,39.5994,-110.8107,92.46,14,0,0.0,US,2022-07-12 22:45:49
427,Itarema,-2.9248,-39.9167,78.66,82,68,12.97,BR,2022-07-12 22:45:50
428,Plouzane,48.3833,-4.6167,70.12,84,0,5.75,FR,2022-07-12 22:45:50
429,Salvador,13.8333,-88.9167,82.44,82,98,2.01,SV,2022-07-12 22:44:24
430,Egvekinot,66.3167,-179.1667,43.03,93,100,7.18,RU,2022-07-12 22:45:51
431,Berlevag,70.8578,29.0864,66.15,59,77,13.8,NO,2022-07-12 22:45:51
432,Beringovskiy,63.05,179.3167,60.85,62,74,10.29,RU,2022-07-12 22:45:51
433,Kokkola,63.8385,23.1307,64.92,93,98,5.75,FI,2022-07-12 22:45:52
434,Kuybysheve,47.358,36.6491,61.75,48,2,4.61,UA,2022-07-12 22:45:52
435,Petropavlovsk-Kamchatskiy,53.0452,158.6483,61.39,94,100,6.71,RU,2022-07-12 22:45:52
436,Baculin,7.4525,126.5842,80.91,79,76,2.19,PH,2022-07-12 22:45:52
437,Nadym,65.5333,72.5167,47.61,63,21,5.35,RU,2022-07-12 22:45:53
438,Sungairaya,0.7,108.9,76.89,88,100,2.82,ID,2022-07-12 22:45:53
439,Abu Zabad,12.35,29.25,75.58,74,52,4.16,SD,2022-07-12 22:45:53
440,Hokitika,-42.7167,170.9667,51.17,87,98,4.85,NZ,2022-07-12 22:45:54
441,Prince Rupert,54.3161,-130.3201,53.69,90,75,16.11,CA,2022-07-12 22:45:11
