City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
238,Tura,IN,2022-07-20 21:40:58,25.5198,90.2201,74.23,97,100,5.7,light rain
239,Srednekolymsk,RU,2022-07-20 21:32:10,67.45,153.6833,47.32,69,100,7.7,overcast clouds
240,Keetmanshoop,NA,2022-07-20 21:40:59,-26.5833,18.1333,56.43,41,0,3.4,clear sky
241,Imeni Babushkina,RU,2022-07-20 21:40:59,59.7573,43.1285,53.89,97,100,6.73,overcast clouds
242,Airai,TL,2022-07-20 21:41:00,-8.9266,125.4092,57.11,93,91,3.74,overcast clouds
243,Souillac,MU,2022-07-20 21:40:49,-20.5167,57.5167,68.38,83,75,24.16,light intensity shower rain
244,Kavieng,PG,2022-07-20 21:41:00,-2.5744,150.7967,81.77,79,93,11.65,light rain
245,Kirakira,SB,2022-07-20 21:41:00,-10.4544,161.9205,82.09,75,77,7.4,broken clouds
246,Lorengau,PG,2022-07-20 21:41:01,-2.0226,147.2712,81.1,77,96,3.47,overcast clouds
247,Marawi,PH,2022-07-20 21:32:08,7.9986,124.2928,69.55,94,47,3.24,scattered clouds
248,Coihaique,CL,2022-07-20 21:41:01,-45.5752,-72.0662,32.61,93,75,8.05,light snow
249,Quatre Cocos,MU,2022-07-20 21:41:02,-20.2078,57.7625,68.11,73,96,20.2,light rain
250,Orbetello,IT,2022-07-20 21:41:02,42.4408,11.2196,78.82,34,0,3.44,clear sky
251,Byron Bay,AU,2022-07-20 21:41:02,-28.65,153.6167,55.94,73,100,19.04,light rain
252,Lander,US,2022-07-20 21:36:27,42.833,-108.7307,94.1,9,0,5.75,clear sky
253,Nakusp,CA,2022-07-20 21:41:03,50.2499,-117.8023,88.47,34,7,2.3,clear sky
254,Ulladulla,AU,2022-07-20 21:41:03,-35.35,150.4667,50.9,79,100,6.85,light rain
255,Xuddur,SO,2022-07-20 21:41:04,4.1213,43.8894,73.36,53,98,19.3,overcast clouds
256,Santa,PH,2022-07-20 21:41:04,17.486,120.4348,85.01,70,100,3.74,overcast clouds
257,Birnin Kebbi,NG,2022-07-20 21:41:04,12.4539,4.1975,82.51,61,85,6.29,overcast clouds
258,Lerwick,GB,2022-07-20 21:41:05,60.1545,-1.1494,53.6,88,87,14.07,overcast clouds
259,Magistralnyy,RU,2022-07-20 21:41:05,56.1725,107.4458,53.65,92,58,1.7,broken clouds
260,Budogoshch,RU,2022-07-20 21:41:06,59.2816,32.4707,61.02,95,40,9.48,light rain
